CATEGORY,MODULE,PROMPT_ID,TITLE,DESCRIPTION,USE_CASE,DIFFICULTY,ESTIMATED_TIME_MIN
Analytics,Analytics & Reporting,ANA006,Engagement Survey,Design and analyze engagement survey,Employee engagement,Medium,25
Analytics,Analytics & Reporting,ANA007,Succession Pipeline,Analyze succession readiness metrics,Talent pipeline,Hard,25
Analytics,Analytics & Reporting,ANA008,Compliance Dashboard,Create compliance monitoring dashboard,Regulatory tracking,Hard,25
Analytics,Analytics & Reporting,ANA009,Cost Analysis,Analyze HR cost structure and trends,Financial analysis,Hard,25
Analytics,Analytics & Reporting,ANA010,Predictive Analytics,Build predictive models (turnover/performance),Advanced analytics,Hard,30
Testing,Testing,TST001,Test Case Generation,Generate SAP SF test cases,QA preparation,Medium,15
Testing,Testing,TST002,Test Data Creation,Create test data for scenarios,QA setup,Medium,20
Testing,Testing,TST003,Performance Test,Design performance testing approach,Load testing,Hard,25
Testing,Testing,TST004,Defect Report,Structure defect documentation,QA reporting,Easy,10
Testing,Testing,TST005,Test Automation Script,Generate Selenium test script,Automation,Hard,30
Testing,Testing,TST006,UAT Script,Create User Acceptance Testing script,UAT,Medium,20
Testing,Testing,TST007,Go-Live Checklist,Create go-live readiness checklist,Go-live prep,Medium,20
Testing,Testing,TST008,Regression Testing,Define regression test scope,Testing strategy,Hard,20
Testing,Testing,TST009,Security Testing,Design security testing approach,Security testing,Hard,30
Testing,Testing,TST010,Integration Testing,Create integration test scenarios,Cross-module testing,Hard,25
Compliance,Compliance & Audit,CMP001,Compliance Checklist,Create annual compliance checklist,Regulatory,Medium,20
Compliance,Compliance & Audit,CMP002,Audit Plan,Design internal audit plan,Audit planning,Hard,25
Compliance,Compliance & Audit,CMP003,Policy Review,Review and update HR policies,Policy management,Medium,20
Compliance,Compliance & Audit,CMP004,Risk Assessment,Conduct HR risk assessment,Risk management,Hard,30
Compliance,Compliance & Audit,CMP005,Data Privacy,Create data privacy policy,GDPR/Privacy,Hard,25
Compliance,Compliance & Audit,CMP006,Incident Response,Design incident response protocol,Crisis management,Hard,30
Compliance,Compliance & Audit,CMP007,Training Plan,Create compliance training program,Regulatory training,Medium,20
Compliance,Compliance & Audit,CMP008,Documentation,Design documentation framework,Record keeping,Medium,20
Compliance,Compliance & Audit,CMP009,Audit Report,Structure compliance audit report,Audit documentation,Medium,20
Compliance,Compliance & Audit,CMP010,Remediation,Create remediation plan for gaps,Compliance closure,Medium,20
Strategy,Strategy & Planning,STR001,HR Strategy,Develop 3-year HR strategy,Strategic planning,Hard,40
Strategy,Strategy & Planning,STR002,Transformation Roadmap,Create HR transformation roadmap,Change management,Hard,45
Strategy,Strategy & Planning,STR003,Org Design,Design optimal organizational structure,Org planning,Hard,40
Strategy,Strategy & Planning,STR004,Succession Plan,Create executive succession plan,Talent planning,Hard,40
Strategy,Strategy & Planning,STR005,Culture Strategy,Develop company culture strategy,Culture transformation,Hard,40
Strategy,Strategy & Planning,STR006,Engagement Plan,Create employee engagement strategy,Engagement improvement,Hard,35
Strategy,Strategy & Planning,STR007,DEI Strategy,Develop diversity and inclusion strategy,DEI initiatives,Hard,45
Strategy,Strategy & Planning,STR008,Technology Roadmap,Plan HR technology investments,Technology strategy,Hard,45
Strategy,Strategy & Planning,STR009,Capability Plan,Design workforce capability development,Skills strategy,Hard,40
Strategy,Strategy & Planning,STR010,Change Management,Create change management plan,Transformation support,Hard,45
Communication,Communication,COM001,Announcement Email,Craft HR announcement email,Internal communication,Easy,10
Communication,Communication,COM002,Policy Communication,Communicate new policy with examples,Policy rollout,Medium,15
Communication,Communication,COM003,Town Hall Agenda,Create town hall meeting agenda,Leadership communication,Medium,15
Communication,Communication,COM004,Change Message,Develop change management messaging,Change communication,Medium,20
Communication,Communication,COM005,Benefits Guide,Create benefits communication guide,Benefits education,Medium,20
Communication,Communication,COM006,Feedback Survey,Design feedback survey for communication,Communication feedback,Easy,10
Communication,Communication,COM007,Manager Guide,Create manager communication toolkit,Manager enablement,Hard,25
Communication,Communication,COM008,Employee Newsletter,Design monthly employee newsletter,Internal communication,Easy,15
Communication,Communication,COM009,Crisis Communication,Develop crisis communication protocol,Emergency response,Hard,30
Communication,Communication,COM010,FAQ Document,Create comprehensive FAQ document,Self-service support,Easy,15
Development,Learning & Development,DEV001,Training Needs Assessment,Conduct training needs analysis,L&D planning,Medium,20
Development,Learning & Development,DEV002,Course Design,Design training course structure,Curriculum development,Hard,30
Development,Learning & Development,DEV003,Learning Objectives,Define learning objectives,Instructional design,Medium,15
Development,Learning & Development,DEV004,Assessment Design,Create training assessments,Learning measurement,Medium,20
Development,Learning & Development,DEV005,Coaching Plan,Design executive coaching program,Leadership development,Hard,30
Development,Learning & Development,DEV006,Mentorship Program,Design mentorship structure,Talent development,Hard,30
Development,Learning & Development,DEV007,Career Path,Define career progression paths,Career development,Hard,25
Development,Learning & Development,DEV008,Succession Development,Create succession development plan,Talent pipeline,Hard,35
Development,Learning & Development,DEV009,Training ROI,Calculate training program ROI,Program evaluation,Hard,25
Development,Learning & Development,DEV010,Virtual Learning,Design virtual training program,Digital learning,Hard,30
Engagement,Employee Experience,ENG001,Engagement Strategy,Develop engagement improvement strategy,Engagement optimization,Hard,35
Engagement,Employee Experience,ENG002,Pulse Survey,Design pulse engagement survey,Engagement measurement,Medium,15
Engagement,Employee Experience,ENG003,Wellness Program,Design comprehensive wellness program,Employee wellness,Hard,35
Engagement,Employee Experience,ENG004,Recognition Program,Create recognition and rewards program,Motivation & engagement,Hard,30
Engagement,Employee Experience,ENG005,Work-Life Balance,Develop work-life balance initiatives,Employee wellbeing,Hard,30
Engagement,Employee Experience,ENG006,Culture Events,Plan monthly culture and team events,Culture building,Medium,20
Engagement,Employee Experience,ENG007,Feedback System,Design continuous feedback mechanism,Feedback culture,Medium,20
Engagement,Employee Experience,ENG008,Listening Tour,Structure employee listening sessions,Voice of employee,Medium,20
Engagement,Employee Experience,ENG009,Exit Interview,Create exit interview process,Departure management,Medium,15
Engagement,Employee Experience,ENG010,Stay Interview,Design stay interview program,Retention focus,Medium,15
